call,priority,specific_objective,acronym,summary,lead_partner,start_end,total_budget,erdf_funding,norway_funding
Call 2C (FA),Priority 2,2.5,MegaBITS,Mobilizing Europe's Green Ambition through Bicycles and Intelligent Transport Systems [FA],Provincie Overijssel,01/05/2023-30/04/2026,4.896.927€,2.938.156€,0€
Call 1C (FA),Priority 2,2.5,ShareDiMobiHub,Shared and Digital Mobility Hubs,Provincie Utrecht,20/09/2022-30/09/2025,5.277.385€,2.867.000€,249.524€
Call 3C (FA),Priority 3,3.1,FIER,"Flooding, Infrastructure, Evacuation, Resilience [FA]",Provincie Zeeland,15/01/2024-15/01/2027,3.882.506€,2.329.504€,0€
Call 3C (FA),Priority 3,3.1,COOL CITIES,Cooling Networks: Reducing Outdoor Heat Stress in Cities,Gemeente Arnhem,01/01/2024-31/12/2027,5.997.330€,3.598.399€,0€
Call 1C (FA),Priority 3,3.1,MANABAS COAST,MAinstreaming NAture BAsed Solutions through COASTal systems,Ministerie van Infrastructuur en Waterstaat,01/10/2022-30/09/2027,7.738.388€,4.643.033€,0€
Call 1C (FA),Priority 3,3.1,Blue Transition,Blue Transition - How to make my region climate resilient,Leibniz-Institut für Angewandte Geophysik,01/10/2022-31/03/2026,7.113.720€,4.268.232€,0€
Call 1B (SSP),Priority 3,3.2,KID,Keep It Dark - Monitoring the Night Sky Brightness,Rijksuniversiteit Groningen,01/10/2022-31/03/2024,462.499€,277.499€,0€
Call 1C (FA),Priority 3,3.2,Anemoi,"Chemical emissions from offshore wind farms: assessing impacts, gaps and opportunities","Eigen Vermogen van het Instituut voor Landbouw-, Visserij- en Voedingsonderzoek",01/02/2023-31/01/2027,5.544.668€,3.282.273€,37.106€
Call 1C (FA),Priority 3,3.2,Biodiverse Cities,Accelerating action for BIODIVERSity Enhancement in CITIES to benefit nature and people,Gemeente Dordrecht,20/09/2022-19/03/2027,5.689.743€,3.323.395€,75.375€
Call 2C (FA),Priority 3,3.2,TREASURE,Targeting the reduction of plastic outflow into the North Sea [FA],Carl von Ossietzky Universität Oldenburg,01/06/2023-31/05/2026,5.784.707€,3.470.824€,0€
Call 2C (FA),Priority 3,3.2,DivGrass,Innovative biodiversity for climate resilient dairy grasslands in the North Sea Region [FA],Universität Vechta,01/09/2023-31/08/2027,3.970.840€,2.382.504€,0€
Call 2C (FA),Priority 3,3.2,Clancy,Improve habitat quality and climate-adaptivity of freshwater ecosystems through management of alien invasive aquatic invertebrates.,Vlaamse milieumaatschappij,02/05/2023-30/04/2028,4.679.614€,2.807.768€,0€
Call 2C (FA),Priority 3,3.2,DARKER SKY,Reducing light pollution in the NSR contributing to biodiversity and dark ecological corridors,Universite de Bretagne Occidentale,01/05/2023-31/10/2026,4.216.620€,2.529.972€,0€
Call 2C (FA),Priority 3,3.2,REMARCO,"Remediation, Management, Monitoring and Cooperation addressing North Sea UXO",Alfred-Wegener-Institut Helmholtz-Zentrum für Polar- und Meeresforschung,01/07/2023-30/06/2027,4.495.127€,2.697.076€,0€
Call 3C (FA),Priority 3,3.2,DEMASK,Development and evaluation of noise management strategies to keep the North Sea healthy,Ministerie van Infrastructuur en Waterstaat - Rijkswaterstaat,01/01/2024-31/12/2026,3.267.040€,1.960.224€,0€
Call 3C (FA),Priority 3,3.2,EXPBIO,Expanding transnational capacities to strengthen plant biodiversity and restoration in the NSR,Göteborgs botaniska trädgård,01/11/2023-31/10/2027,4.537.735€,2.722.641€,0€
Call 1C (FA),Priority 4,4.1,FREIIA,Facilitating Resilience Embracing Islands Innovation Approaches,Provinsje Fryslân,01/10/2022-31/12/2025,3.301.810€,1.681.086€,250.000€
Call 2C (FA),Priority 4,4.1,Norsaic,Cooperation Governance for Next-Level Maritime Spatial Planning in the North Sea,Carl von Ossietzky Universität Oldenburg,01/05/2023-30/04/2026,2.679.386€,1.607.631€,0€
Call 3C (FA),Priority 4,4.1,GLEAM NSR,Green logistics for a just net zero carbon economy in the North Sea Region [FA],Rijksuniversiteit Groningen,01/12/2023-31/05/2027,2.915.387€,1.749.234€,0€
Call 3C (FA),Priority 4,4.1,Green Team,Improved governance mechanisms for integrated and pro-active climate adaptation planning in public spaces [FA],Provincie Antwerpen,01/01/2024-01/07/2027,2.678.832€,1.607.299€,0€
Call 3B (SSP),Priority 4,4.1,LISTEN,“Listen to us”– how to improve children’s and young people’s participation in the development of the society in the North Sea region,Länsstyrelsen Skåne,01/11/2023-30/04/2025,380.800€,228.480€,0€
Call 3C (FA),Priority 4,4.1,NS H2V Ports,North Sea Hydrogen Valley Ports [FA],New Energy Coalition,01/01/2024-31/12/2026,1.598.171€,958.903€,0€
Call 2B (SSP),Priority 4,4.1,SELECT,Supporting Electrification of Logistics fleets by analyzing demand for Energy and Charging needed for Transition,Lindholmen Science Park  AB,12/07/2023-12/01/2025,457.454€,274.473€,0€
Call 3B (SSP),Priority 4,4.1,SPIES,Shore Power In European Shipping,Provinciale Ontwikkelingsmaatschappij (POM) Limburg,01/01/2024-30/06/2025,498.820€,299.292€,0€
Call 3C (FA),Priority 4,4.1,Speak Up,Speak Up [FA],Gemeente Groningen,01/12/2023-01/12/2026,4.431.108€,2.658.666€,0€
Call 2B (SSP),Priority 4,4.1,EHRIN,Excellent Hydrogen Regions in Europe,Provincie Drenthe,01/06/2023-30/11/2024,495.600€,297.360€,0€
Call 1B (SSP),Priority 4,4.1,BIOZE,Biomass Skills for Net Zero,Association d'Initiatives Locales pour l'Energie,23/11/2022-22/05/2024,480.966€,288.579€,0€
